,Title,PublishedDate,Views,Likes,Comments,Month
0,Oblivious Transfer - Computerphile,2023-10-12,35212,1124,86,Oct
1,Budget Self-Driving Car - Computerphile,2023-10-05,33549,1180,89,Oct
2,How Bzip2 Works (Burrows Wheeler Transform) - Computerphile,2023-09-28,40902,1681,126,Sep
3,CMPRSN (Compression Overview) - Computerphile,2023-09-19,58436,2249,147,Sep
4,TETRA Vulnerability (TETRA:BURST) - Computerphile,2023-09-14,85012,2930,189,Sep
5,Kernelless Kernel Programming (eBPF) - Computerphile,2023-09-07,57956,2194,176,Sep
6,Turing Machine Alternative (Counter Machines) - Computerphile,2023-09-04,46280,1690,226,Sep
7,"Graphs, Vectors and Machine Learning - Computerphile",2023-08-07,80330,2204,72,Aug
8,Defining Harm for Ai Systems - Computerphile,2023-07-31,31973,1085,163,Jul
9,Mike's Cube Code - Computerphile,2023-07-11,112140,4478,636,Jul
10,Quantum Computing in Reality (Pt3: Beyond the Hype) - Computerphile,2023-07-06,49610,1218,59,Jul
11,Power LED Attack - Computerphile,2023-06-29,236795,8936,490,Jun
12,Quantum: Current State 2023 (Quantum pt2) - Computerphile,2023-06-15,42458,1055,58,Jun
13,Four Principles of Quantum (Quantum pt1) - Computerphile,2023-06-08,57434,1884,121,Jun
14,Ethernet (50th Birthday) - Computerphile,2023-05-31,115414,4340,225,May
15,Non-Deterministic Automata - Computerphile,2023-05-26,44740,1380,111,May
16,Discussing PDF@30 Years Old - Computerphile,2023-05-18,89863,3172,241,May
17,LogJam Attack - Computerphile,2023-05-03,163060,6380,299,May
18,Foundations of Data Visualisation - Computerphile,2023-04-13,69808,2272,82,Apr
19,Acropalypse Now - Computerphile,2023-03-28,182041,7701,491,Mar
20,Bing Chat Behaving Badly - Computerphile,2023-03-24,308058,12896,1403,Mar
21,Automata & Python - Computerphile,2023-03-16,88823,2855,149,Mar
22,Glitch Tokens - Computerphile,2023-03-07,299487,14814,993,Mar
23,SenseMaking (Data Visualisation) - Computerphile,2023-03-03,42641,1592,86,Mar
24,Rust and RAII Memory Management - Computerphile,2023-02-23,184677,6663,856,Feb
25,Ch(e)at GPT? - Computerphile,2023-02-16,583313,17042,1094,Feb
26,Legacy Code Conversion - Computerphile,2023-02-08,99400,3012,485,Feb
27,ChatGPT with Rob Miles - Computerphile,2023-02-01,479083,15975,1064,Feb
28,Garbage Collection (Mark & Sweep) - Computerphile,2023-01-20,206545,8841,474,Jan
29,Emulation - Computerphile,2023-01-12,187760,6325,273,Jan
30,Malware and Machine Learning - Computerphile,2023-01-06,71517,2046,82,Jan
31,What do Computer Scientists Read? - Computerphile,2022-12-24,85995,3402,130,Dec
32,MDE under the Hood (Model Driven Engineering) - Computerphile,2022-12-20,36806,915,75,Dec
33,"Horrible, Helpful, http3 Hack - Computerphile",2022-12-14,78465,2929,353,Dec
34,Verifying AI 'Black Boxes' - Computerphile,2022-12-08,60443,2559,138,Dec
